"","CC_1","CC_2","LT_1","LT_2","MM_1","MM_2","SMB_1","SMB_2","ST_1","ST_2","WS_1","WS_2"
"2013_BEF.FBL.012",0.00165289256198347,0.00495867768595041,0,0,0.00495867768595041,0.0132231404958678,0.0148760330578512,0.00661157024793388,0,0,0,0.00495867768595041
"2013_BEF.FBL.013",0.00678733031674208,0.00452488687782805,0,0,0,0,0,0.00904977375565611,0,0,0,0
"2013_BEF.FBL.014",0.00413223140495868,0.00826446280991736,0,0,0,0.0227272727272727,0.012396694214876,0.0144628099173554,0,0,0,0
"2013_BEF.FBL.015",0.0028328611898017,0.0028328611898017,0,0,0.0056657223796034,0.0169971671388102,0.0141643059490085,0.0056657223796034,0,0.0028328611898017,0,0
"2014_BEF.FBL.001",0.0022883295194508,0.0137299771167048,0,0,0,0.0068649885583524,0.0366132723112128,0.0091533180778032,0,0.0137299771167048,0,0
"2014_BEF.FBL.002",0.0048661800486618,0.0024330900243309,0,0,0,0,0.0121654501216545,0.0024330900243309,0,0.0072992700729927,0,0
"2014_BEF.FBL.003",0,0,0,0,0,0,0.012448132780083,0,0,0,0,0.004149377593361
"2014_BEF.FBL.004",0,0,0,0,0,0,0.055045871559633,0,0,0,0,0
"2014_BEF.FBL.005",0,0,0,0,0,0.00343642611683849,0.0378006872852234,0.013745704467354,0,0,0.00343642611683849,0
"2014_BEF.FBL.006",0,0.00225225225225225,0,0,0,0.0045045045045045,0.0630630630630631,0.00675675675675676,0,0,0,0.0045045045045045
"2014_BEF.FBL.007",0.00318979266347687,0.00478468899521531,0,0,0,0.00478468899521531,0.0175438596491228,0.00478468899521531,0,0,0,0.00159489633173844
"2014_BEF.FBL.008",0,0.00441501103752759,0,0.0022075055187638,0,0,0.0419426048565121,0.0132450331125828,0,0,0,0
"2014_BEF.FBL.009",0.0103359173126615,0.00775193798449612,0,0,0,0.0103359173126615,0.00516795865633075,0,0.00258397932816537,0.00258397932816537,0,0
"2014_BEF.FBL.010",0,0.00573065902578797,0,0.00286532951289398,0,0,0.0229226361031519,0,0,0.00573065902578797,0,0
"2014_BEF.FBL.011",0.00666666666666667,0,0,0,0,0,0.0177777777777778,0.00666666666666667,0,0,0,0.00222222222222222
"2014_BEF.FBL.012",0,0.00377358490566038,0,0,0.0113207547169811,0.0132075471698113,0.030188679245283,0.00188679245283019,0,0,0,0
"2014_BEF.FBL.013",0,0.00462962962962963,0,0,0,0.00462962962962963,0.00231481481481481,0.00231481481481481,0,0,0,0.00462962962962963
