"","rownames","BB","BND","CC","CS","LLS","LT","MM","NF","NRD","PS","RS","RT","RWF","SMB","SS","ST","WS"
"824","2017_BEF.LML.016",0,0,0,0,0,0,0,0,0,0.0213675213675214,0,0,0,0.0811965811965812,0,0,0.00427350427350427
"825","2017_BEF.LML.017",0,0,0,0,0.00142247510668563,0.00142247510668563,0,0,0,0.0142247510668563,0.00142247510668563,0,0,0.0469416785206259,0.00142247510668563,0,0
"826","2017_BEF.LML.018",0,0,0,0.00833333333333333,0,0,0.0138888888888889,0,0,0.0638888888888889,0,0,0,0.0138888888888889,0.00833333333333333,0.00833333333333333,0.00833333333333333
"827","2017_BEF.LML.019",0,0,0.013986013986014,0.0174825174825175,0,0,0,0,0,0.0454545454545455,0.00699300699300699,0,0,0.013986013986014,0.027972027972028,0.013986013986014,0
"828","2017_BEF.LML.020",0,0,0.00464396284829721,0.0185758513931889,0,0,0,0,0,0.0789473684210526,0,0,0,0.0402476780185759,0.00619195046439629,0,0.00309597523219814
"829","2017_BEF.LML.021",0,0,0,0.0272277227722772,0,0,0.00742574257425743,0,0,0.0717821782178218,0.0123762376237624,0,0,0.00247524752475248,0.00495049504950495,0,0.00247524752475248
"830","2017_BEF.LML.022",0,0,0,0.00253807106598985,0.00126903553299492,0.00126903553299492,0,0,0,0.00253807106598985,0.00253807106598985,0,0,0.0266497461928934,0.0177664974619289,0,0.00380710659898477
"831","2017_BEF.LML.023",0,0,0.00104931794333683,0,0.00419727177334732,0.00104931794333683,0.0115424973767051,0,0,0.0262329485834208,0.00104931794333683,0,0.00629590766002099,0.0199370409233998,0.00629590766002099,0,0.00104931794333683
"832","2017_BEF.LML.024",0,0,0.00458715596330275,0.00458715596330275,0,0,0.00229357798165138,0,0,0.0252293577981651,0,0,0,0.0619266055045872,0,0,0
"833","2017_BEF.LML.025",0,0,0.00271370420624152,0,0.00271370420624152,0,0.00271370420624152,0,0,0.0597014925373134,0,0,0,0.0257801899592944,0.00407055630936228,0.00271370420624152,0.00542740841248304
"834","2017_BEF.LML.026",0,0,0.0033167495854063,0.0033167495854063,0.00165837479270315,0,0,0,0,0.0315091210613599,0,0,0,0.0613598673300166,0,0,0.00165837479270315
"835","2017_BEF.LML.027",0,0,0,0.00440528634361234,0,0,0.00220264317180617,0,0,0.0770925110132159,0,0,0,0.0352422907488987,0,0,0.00220264317180617
"836","2017_BEF.LML.028",0,0,0,0.0029585798816568,0,0.0029585798816568,0.00443786982248521,0,0,0.0414201183431953,0.00443786982248521,0,0,0.00739644970414201,0.0029585798816568,0.0014792899408284,0.00887573964497041
"837","2017_BEF.LML.029",0,0,0,0,0.00246305418719212,0,0,0,0,0.00985221674876847,0,0,0,0.12807881773399,0,0,0
"838","2017_BEF.LML.030",0,0,0,0,0,0,0,0,0,0.0169671261930011,0.00106044538706257,0,0,0.149522799575822,0,0,0
"839","2017_BEF.LML.031",0,0,0,0,0.00211976682564918,0.000529941706412295,0.00105988341282459,0,0,0.0153683094859565,0.00158982511923688,0,0.00158982511923688,0.0121886592474828,0.00688924218335983,0,0.00211976682564918
"840","2017_BEF.LML.032",0,0,0,0.0127388535031847,0,0,0,0,0,0.0382165605095541,0.00318471337579618,0,0,0.035031847133758,0.00318471337579618,0,0
"841","2018_BEF.FBL.001",0,0,0.0283018867924528,0,0,0.00314465408805031,0.00628930817610063,0,0,0,0,0,0,0.0974842767295598,0,0.00943396226415094,0.00943396226415094
"842","2018_BEF.FBL.002",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00303030303030303,0,0.00303030303030303,0.00606060606060606
"843","2018_BEF.FBL.003",0,0,0,0,0.00606060606060606,0.00606060606060606,0,0,0,0,0,0,0,0.0121212121212121,0,0.00606060606060606,0
"844","2018_BEF.FBL.004",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505050505050505,0,0,0
"845","2018_BEF.FBL.005",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0685920577617329,0,0,0
"846","2018_BEF.FBL.006",0,0,0,0,0.00337837837837838,0,0,0,0,0,0,0,0,0.0405405405405405,0,0,0.00337837837837838
"847","2018_BEF.FBL.007",0,0,0,0,0,0.00225733634311512,0,0,0,0,0,0,0,0.0248306997742664,0,0.00677200902934537,0.00225733634311512
"848","2018_BEF.FBL.008",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778894472361809,0,0,0
"849","2018_BEF.FBL.009",0,0,0.00510204081632653,0,0,0.0102040816326531,0.0102040816326531,0,0,0,0,0,0,0,0,0.00510204081632653,0
