"","BB_1","BB_2","CC_1","CC_2","CS_1","CS_2","LT_1","LT_2","MM_1","MM_2","PS_1","PS_2","RS_1","RS_2","RWF_2","SMB_1","SMB_2","SS_1","SS_2","WS_1","WS_2"
"2016_BEF.LML.002",0,0,0,0,0,0,0.00112233445566779,0,0,0,0.0134680134680135,0,0.0202020202020202,0,0,0.00336700336700337,0.00112233445566779,0.00224466891133558,0.0101010101010101,0,0.00112233445566779
"2016_BEF.LML.003",0,0,0,0,0,0,0,0,0,0,0,0,0.00378310214375788,0,0,0.0416141235813367,0.00126103404791929,0.00126103404791929,0.0264817150063052,0,0
"2016_BEF.LML.004",0,0,0,0,0,0,0,0.000782472613458529,0,0,0.00312989045383412,0.00312989045383412,0.0179968701095462,0.000782472613458529,0,0.00156494522691706,0.00391236306729264,0.000782472613458529,0.00704225352112676,0,0.00704225352112676
"2016_BEF.LML.005",0,0,0.0131118881118881,0,0,0,0,0,0.000874125874125874,0.00874125874125874,0.0288461538461538,0.0113636363636364,0.00524475524475524,0,0,0.0183566433566434,0.0113636363636364,0.000874125874125874,0.00262237762237762,0,0.00961538461538462
"2016_BEF.LML.006",0,0,0,0,0.00317965023847377,0,0,0,0,0,0.0095389507154213,0.0111287758346582,0,0,0,0.0508744038155803,0.014308426073132,0,0.00476947535771065,0,0.00158982511923688
"2016_BEF.LML.007",0,0,0,0.000986193293885602,0,0,0.000986193293885602,0,0,0,0.000986193293885602,0.000986193293885602,0,0,0,0.0285996055226824,0.0157790927021696,0,0.029585798816568,0,0
"2016_BEF.LML.008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273037542662116,0.0068259385665529,0,0.0170648464163823,0,0
"2016_BEF.LML.009",0,0,0,0,0,0.000932835820895522,0.00279850746268657,0,0,0,0.00652985074626866,0.00373134328358209,0.000932835820895522,0,0,0.0354477611940298,0.0102611940298507,0,0.00932835820895522,0,0
"2016_BEF.LML.010",0,0,0.000674763832658569,0,0.00337381916329285,0,0.00202429149797571,0,0,0.000674763832658569,0.0242914979757085,0.00539811066126856,0.00134952766531714,0,0,0.0519568151147098,0.0202429149797571,0.000674763832658569,0.0107962213225371,0,0
"2016_BEF.LML.011",0,0,0,0,0,0,0.00122850122850123,0.00122850122850123,0,0,0.0085995085995086,0.0135135135135135,0.00737100737100737,0,0,0.0823095823095823,0.0257985257985258,0.00122850122850123,0.00245700245700246,0,0.00122850122850123
"2016_BEF.LML.012",0,0,0,0.00117096018735363,0,0,0.00234192037470726,0,0,0,0.00468384074941452,0.0105386416861827,0.0152224824355972,0,0,0.0362997658079625,0.00351288056206089,0.00585480093676815,0.0187353629976581,0,0.00117096018735363
"2016_BEF.LML.013",0,0,0,0,0,0,0,0,0,0,0.016,0.024,0.004,0,0,0.072,0.024,0,0.008,0,0
"2016_BEF.LML.014",0,0,0,0,0,0,0.00625,0.0015625,0,0,0.021875,0.0015625,0.003125,0,0,0.065625,0.009375,0.0015625,0.0109375,0,0.0015625
"2016_BEF.LML.015",0,0,0,0,0,0,0.00441501103752759,0,0,0,0.0397350993377483,0.00883002207505519,0,0,0,0.0375275938189845,0.0397350993377483,0,0.00883002207505519,0.0022075055187638,0.0022075055187638
"2016_BEF.LML.016",0,0,0,0,0,0,0,0,0,0,0.00684931506849315,0.0171232876712329,0,0,0,0.0410958904109589,0.0273972602739726,0,0.00342465753424658,0,0
"2016_BEF.LML.017",0,0,0,0,0.0100376411543287,0,0,0,0,0.00125470514429109,0.00501882057716437,0.00250941028858218,0,0,0,0.027603513174404,0.0100376411543287,0,0.00125470514429109,0,0.0112923462986198
"2016_BEF.LML.018",0,0,0.00246913580246914,0,0.0444444444444444,0,0,0,0,0.00987654320987654,0.0271604938271605,0.0123456790123457,0,0,0,0.00987654320987654,0.00493827160493827,0,0,0,0.0123456790123457
"2016_BEF.LML.019",0,0,0.0241758241758242,0,0.043956043956044,0,0,0.0021978021978022,0,0.0021978021978022,0.0527472527472527,0.00659340659340659,0.0021978021978022,0,0,0.0043956043956044,0.0043956043956044,0,0,0,0
"2016_BEF.LML.020",0,0,0.000974658869395711,0.00194931773879142,0.0233918128654971,0.00292397660818713,0,0.000974658869395711,0,0.00194931773879142,0.0302144249512671,0.0116959064327485,0,0,0,0.0380116959064327,0.0204678362573099,0,0.00389863547758285,0,0
"2016_BEF.LML.021",0,0,0.011605415860735,0.00193423597678917,0.0406189555125725,0.00773694390715667,0,0,0,0.00193423597678917,0.0193423597678917,0,0.00193423597678917,0,0,0.00386847195357834,0.00193423597678917,0.00386847195357834,0.00773694390715667,0,0
"2016_BEF.LML.022",0,0,0,0,0.00127388535031847,0.00127388535031847,0,0,0,0,0,0,0.00127388535031847,0,0,0.0152866242038217,0.00127388535031847,0.00254777070063694,0.0140127388535032,0,0.00127388535031847
"2016_BEF.LML.023",0,0,0.000955109837631328,0,0,0,0.00191021967526266,0,0,0.00764087870105062,0.00477554918815664,0.00382043935052531,0,0,0.000955109837631328,0.0343839541547278,0.00286532951289398,0.000955109837631328,0.0133715377268386,0,0.000955109837631328
"2016_BEF.LML.024",0,0,0.0087463556851312,0,0,0,0.00583090379008746,0,0.00291545189504373,0.00291545189504373,0.0145772594752187,0,0,0,0,0.0583090379008746,0.0087463556851312,0,0.0291545189504373,0,0
"2016_BEF.LML.025",0,0,0.0110041265474553,0.00137551581843191,0.00137551581843191,0,0,0,0.00137551581843191,0.00412654745529574,0.0137551581843191,0,0,0,0,0.0247592847317744,0.00275103163686382,0.00137551581843191,0.00825309491059147,0,0
"2016_BEF.LML.026",0,0,0,0,0.00959232613908873,0,0,0,0,0,0.0167865707434053,0,0,0,0,0.0431654676258993,0.0167865707434053,0.00239808153477218,0.00959232613908873,0,0
"2016_BEF.LML.027",0,0,0,0,0.0032258064516129,0,0,0,0,0.0032258064516129,0.0145161290322581,0.00806451612903226,0,0,0,0.0290322580645161,0.00645161290322581,0.00161290322580645,0.00645161290322581,0,0
"2016_BEF.LML.028",0,0,0.00243013365735115,0,0.0194410692588092,0,0,0,0.00121506682867558,0.00486026731470231,0.00850546780072904,0.00364520048602673,0,0,0,0.0109356014580802,0,0.00121506682867558,0.00243013365735115,0,0.00121506682867558
"2016_BEF.LML.029",0,0,0,0,0.00127388535031847,0,0,0,0,0,0,0,0,0,0,0.0777070063694267,0.0089171974522293,0,0.00254777070063694,0,0
"2016_BEF.LML.030",0,0,0,0,0,0,0,0,0,0,0.00571895424836601,0.00245098039215686,0,0,0,0.106209150326797,0.0163398692810458,0,0.00163398692810458,0,0.000816993464052288
"2016_BEF.LML.031",0,0,0.0023441162681669,0,0,0,0.00093764650726676,0,0.00140646976090014,0,0.00937646507266761,0.0046882325363338,0.019690576652602,0.00140646976090014,0,0.0046882325363338,0.00328176277543366,0.0046882325363338,0.0145335208626348,0,0.00281293952180028
"2016_BEF.LML.032",0,0,0.00958466453674121,0.00319488817891374,0.012779552715655,0,0,0,0,0,0.00638977635782748,0.00319488817891374,0.00319488817891374,0,0,0.00638977635782748,0,0.00319488817891374,0.00638977635782748,0,0.00638977635782748
"2017_BEF.LML.001",0,0,0,0,0,0,0,0,0,0,0.0668693009118541,0.027355623100304,0,0,0,0.0121580547112462,0.0303951367781155,0.00303951367781155,0.00303951367781155,0,0
"2017_BEF.LML.002",0,0,0,0,0,0,0.00259067357512953,0,0,0,0.0116580310880829,0,0.0207253886010363,0.00129533678756477,0,0.00518134715025907,0.0038860103626943,0,0.0038860103626943,0,0
